,brands,prices,tier
500,Kate Spade New York,CCC,['designer']
501,Topman,BBB,['fast']
502,Anne Klein,CCC,['mid']
503,Forzieri,CCC,['mid']
504,VERO MODA,CCC,['mid']
505,Franco Sarto,CCC,['mid']
506,Thread & Supply,CCC,['mid']
507,Karl Lagerfeld,CCC,['designer']
508,Topshop,CCC,['fast']
509,Polo Ralph Lauren,CCC,['mid']
510,Astr The Label,CCC,['mid']
511,Mini Rodini,CCC,['mid']
512,Nadri,CCC,['mid']
513,Dr. Dennis Gross,CCC,['mid']
514,Agolde,CCC,['mid']
515,Laura Lombardi,CCC,['mid']
516,FILA,CCC,['mid']
517,Splendid,CCC,['mid']
518,Estelle,CCC,['mid']
519,Commando,CCC,['mid']
520,Jag Jeans,CCC,['mid']
521,Florence Eiseman,CCC,['mid']
522,Little Marc Jacobs,CCC,['mid']
523,Vans,CCC,['mid']
524,MAC Cosmetics,CCC,['mid']
525,Seafolly,CCC,['mid']
526,Golden Door,CCC,['mid']
527,Moschino Kids,CCC,['mid']
528,Bosca,CCC,['mid']
529,The Men's Store At Bloomingdale's,CCC,['mid']
530,The Men's Store At Bloomingdale's,CCC,['mid']
531,Surya,CCC,['mid']
532,Bonobos,CCC,['mid']
533,Maaji,CCC,['mid']
534,Saint Laurent,CCC,['designer']
535,Splendid,CCC,['mid']
536,Aqua,CCC,['mid']
537,The North Face,CCC,['mid']
538,Standards & Practices,CCC,['mid']
539,Madewell,CCC,['mid']
540,Juliska,CCC,['mid']
541,Diesel,CCC,['mid']
542,Aqua,CCC,['mid']
543,BCBGeneration,CCC,['mid']
544,Chelsea28,CCC,['mid']
545,Brixton,CCC,['mid']
546,Free People,CCC,['mid']
547,Etro,CCC,['designer']
548,Tommy Hilfiger,CCC,['designer']
549,Diesel,CCC,['mid']
550,Forzieri,CCC,['mid']
551,Kendra Scott,CCC,['mid']
552,Forzieri,CCC,['mid']
553,Mei L'ange,CCC,['mid']
554,CaslonR,CCC,['mid']
555,Converse,CCC,['mid']
556,Blunt,CCC,['mid']
557,Bonobos,CCC,['mid']
558,Molo,CCC,['mid']
559,Cutter & Buck,CCC,['mid']
560,Longchamp,CCC,['designer']
561,Joseph A Plus,CCC,['mid']
562,Corinne McCormack,CCC,['mid']
563,Calvin Klein,CCC,['designer']
564,Diesel,CCC,['mid']
565,Tory Sport,CCC,['mid']
566,Highline Bedding Co.,CCC,['mid']
567,Nike,CCC,['mid']
568,Whistles,CCC,['mid']
569,J. Valdi,CCC,['mid']
570,Charles Jeffrey Loverboy,CCC,['mid']
571,Surf Gypsy,CCC,['mid']
572,Soludos,CCC,['mid']
573,Jordan,CCC,['mid']
574,Diesel Kids,CCC,['mid']
575,Clinique,CCC,['mid']
576,En Creme,CCC,['mid']
577,Nine West,CCC,['mid']
578,Nina,CCC,['mid']
579,BCBGeneration,CCC,['mid']
580,Mitchell & Ness,CCC,['mid']
581,Sanctuary,CCC,['mid']
582,Majestic International,CCC,['mid']
583,Paul Smith,CCC,['designer']
584,Re/Done,CCC,['mid']
585,Aqua,CCC,['mid']
586,BCBG,CCC,['mid']
587,Diesel,CCC,['mid']
588,Vetements,CCC,['mid']
589,Waterford,CCC,['mid']
590,Red Haute,CCC,['mid']
591,Aqua,CCC,['mid']
592,Lab Series Skincare for Men,CCC,['mid']
593,Forzieri,CCC,['mid']
594,YMC,CCC,['mid']
595,Nike,CCC,['mid']
596,The Fifth Label,CCC,['mid']
597,adidas Originals,CCC,['mid']
598,Beyond Yoga,DDD,['mid']
599,Supreme,DDD,['designer']
600,The Upside,DDD,['mid']
601,Jennifer Behr,DDD,['mid']
602,Skagen,DDD,['mid']
603,Theory,DDD,['mid']
604,Terez,DDD,['mid']
605,Nike,DDD,['mid']
606,Wildfox,DDD,['mid']
607,ALLSAINTS,DDD,['mid']
608,Tory Sport,DDD,['mid']
609,Dior,DDD,['designer']
610,Polo Ralph Lauren,CCC,['mid']
611,Gibson,CCC,['mid']
612,Beyond Yoga,DDD,['mid']
613,PE Nation,DDD,['mid']
614,GOOD AMERICAN,DDD,['mid']
615,BCBGeneration,DDD,['mid']
616,Sterling Forever,DDD,['mid']
617,CeCe,CCC,['mid']
618,Alexis Bittar,DDD,['mid']
619,Ralph Lauren,CCC,['designer']
620,Vince Camuto,DDD,['mid']
621,CeCe,DDD,['mid']
622,Hudson Park Collection,DDD,['mid']
623,Supreme,DDD,['designer']
624,Vince Camuto,DDD,['mid']
625,Kith,DDD,['mid']
626,Prps,DDD,['mid']
627,Jordan,DDD,['mid']
628,Barbour,DDD,['designer']
629,SFERRA,DDD,['mid']
630,Aetrex,DDD,['mid']
631,Matouk,DDD,['designer']
632,Whiting & Davis,DDD,['mid']
633,Karl Lagerfeld,DDD,['designer']
634,Lancaster,DDD,['mid']
635,adidas,DDD,['mid']
636,JENNIFER ZEUNER,DDD,['mid']
637,BCBG,DDD,['mid']
638,Nike,DDD,['mid']
639,Estelle,DDD,['mid']
640,Under Armour,DDD,['mid']
641,Polo Ralph Lauren,DDD,['mid']
642,Versace,DDD,['designer']
643,Vince Camuto,DDD,['mid']
644,Keen,DDD,['mid']
645,adidas,DDD,['mid']
646,Charlotte Simone,DDD,['mid']
647,Free People,DDD,['mid']
648,Supreme,DDD,['designer']
649,JEN7 by 7 For All Mankind,DDD,['mid']
650,Vince Camuto,DDD,['mid']
651,Nike,DDD,['mid']
652,adidas,DDD,['mid']
653,Nike,DDD,['mid']
654,Supreme,DDD,['designer']
655,Massimo Alba,DDD,['mid']
656,Paul Smith,DDD,['designer']
657,Billabong,CCC,['mid']
658,Match,DDD,['mid']
659,Gucci,DDD,['designer']
660,Hudson Park Collection,DDD,['mid']
661,Merrell,DDD,['mid']
662,Marcelo Burlon County of Milan,DDD,['mid']
663,adidas,DDD,['mid']
664,Jag Jeans,DDD,['mid']
665,ModCloth,CCC,['mid']
666,Paul Smith,DDD,['designer']
667,Polo Ralph Lauren,CCC,['mid']
668,Magnanni,DDD,['mid']
669,Northskull,DDD,['mid']
670,Boden,DDD,['mid']
671,BLANKNYC,DDD,['mid']
672,Puma,DDD,['mid']
673,Vix,DDD,['mid']
674,Karl Lagerfeld,DDD,['designer']
675,Paul Smith,DDD,['designer']
676,Bella Vita,DDD,['mid']
677,Topshop,DDD,['fast']
678,Topman,CCC,['fast']
679,Levi's,DDD,['mid']
680,John Varvatos,DDD,['designer']
681,Vionic,DDD,['mid']
682,W.R.K,DDD,['mid']
683,Hermes,DDD,['mid']
684,Bella Vita,DDD,['mid']
685,Supreme,DDD,['designer']
686,BIOEFFECT,DDD,['mid']
687,FILA,DDD,['mid']
688,Cosabella,DDD,['mid']
689,Tori Richard,DDD,['designer']
690,Moser,DDD,['mid']
691,Rachel Comey,DDD,['mid']
692,Jordan,DDD,['mid']
693,adidas,DDD,['mid']
694,BLANKNYC,DDD,['mid']
695,Karl Lagerfeld Paris,DDD,['mid']
696,Vionic,CCC,['mid']
697,Cire Trudon,DDD,['mid']
698,Nike,DDD,['mid']
699,J.Crew,DDD,['mid']
700,Naturalizer,DDD,['mid']
701,VIETRI,DDD,['mid']
702,Florsheim,DDD,['mid']
703,Bogs,CCC,['mid']
704,Tory Burch,DDD,['designer']
705,Universal Standard,DDD,['mid']
706,Sol Angeles,DDD,['mid']
707,Tiger Mist,DDD,['mid']
708,Vitamin A,DDD,['mid']
709,Tom & Teddy,DDD,['mid']
710,Arte Italica,DDD,['mid']
711,Omorovicza,DDD,['mid']
712,John Varvatos,DDD,['designer']
713,Robert Barakett,DDD,['mid']
714,Vix,DDD,['mid']
715,Converse,DDD,['mid']
716,TravisMathew,CCC,['mid']
717,J. Renee,CCC,['mid']
718,Tracie Martyn,DDD,['mid']
719,BUENO,DDD,['mid']
720,Dior,DDD,['designer']
721,Brooks Brothers,DDD,['mid']
722,Le Creuset,DDD,['mid']
723,Lou & Grey,CCC,['mid']
724,Boss Hugo Boss,DDD,['mid']
725,Forzieri,DDD,['mid']
726,Eileen Fisher,DDD,['mid']
727,William Yeoward,DDD,['mid']
728,Mavi Jeans,DDD,['mid']
729,Eliza J,DDD,['mid']
730,Angel Maternity,DDD,['mid']
731,Jordan,DDD,['mid']
732,Topman,CCC,['fast']
733,Mavi Jeans,DDD,['mid']
734,CaslonR,DDD,['mid']
735,Lspace,DDD,['mid']
736,Nordstrom,CCC,['fast']
737,EDWIN,DDD,['mid']
738,Badgley Mischka,DDD,['designer']
739,Dr. Vranjes,DDD,['mid']
740,TOMS,DDD,['mid']
741,Fraiche by J,DDD,['mid']
742,Monnalisa,DDD,['mid']
743,Naturalizer,DDD,['mid']
744,Calvin Klein,CCC,['designer']
745,Forzieri,DDD,['mid']
746,diptyque,DDD,['mid']
747,NIC+ZOE,DDD,['mid']
748,Nike,DDD,['mid']
749,James Perse,DDD,['mid']
750,Jimmy Choo,DDD,['designer']
751,Lucky Brand,CCC,['mid']
752,Alex Mill,DDD,['mid']
753,Nike,DDD,['mid']
754,Levis,DDD,['mid']
755,evolve,DDD,['mid']
756,BAPE,DDD,['designer']
757,Polo Ralph Lauren,DDD,['mid']
758,Ted Baker,DDD,['mid']
759,Closed,DDD,['mid']
760,Hanro,DDD,['mid']
761,Majestic Filatures,DDD,['mid']
762,Reebok By Victoria Beckham,DDD,['mid']
763,Stussy,DDD,['mid']
764,Nike,DDD,['mid']
765,Brooks Brothers,DDD,['mid']
766,New Balance,DDD,['mid']
767,BLANKNYC,DDD,['mid']
768,Matteau,DDD,['mid']
769,YMC,DDD,['mid']
770,Jean Patou,DDD,['mid']
771,Orciani,DDD,['mid']
772,Christian Louboutin,DDD,['designer']
773,adidas by Stella McCartney,DDD,['mid']
774,Guerlain,DDD,['mid']
775,Faherty,DDD,['mid']
776,New Balance,DDD,['mid']
777,Elrene Home Fashions,DDD,['mid']
778,Lysse,DDD,['mid']
779,Moschino,DDD,['designer']
780,David Tate,DDD,['mid']
781,Aubade Paris,CCC,['mid']
782,HalogenR,CCC,['mid']
783,BAPE,DDD,['designer']
784,Lilly PulitzerR,DDD,['mid']
785,Georg Jensen,DDD,['designer']
786,BP.,CCC,['mid']
787,Shun,DDD,['mid']
788,Puma,DDD,['mid']
789,Cutter & Buck,DDD,['mid']
