,V1,V2,V3,V4,url
13,2808,"Bric's Designer Travel Bags, Life Olive Green Micro Suede Medium Trolley","Life Olive Green Micro Suede Medium Trolley from Bric's Life Collection is handcrafted with suede effect PVC and trimmed with full grain Tuscan leather including the signature logo. Classic and elegant this line is created to look great and travel better. Fits enough for a 5 to 7 day trip. Featuring top and side leather handles, roomy zip main compartment, front zip pocket, adjustable retractable handle and ergonomically designed wheels swivel 360 degrees.","['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000002808.jpg
14,1248,Sam Edelman Prudence Large Beaded Clutch,Sam Edelman Prudence Large Beaded Clutch-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001248.jpg
15,1158,Peixoto Girls' Magnolia Fringe 2-Piece Swimsuit - Big Kid,Peixoto Girls' Magnolia Fringe 2-Piece Swimsuit - Big Kid-Kids,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000001158.jpg
16,38,Bric's Life 65th Anniversary Tropea 30 Spinner,Bric's Life 65th Anniversary Tropea 30 Spinner-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000038.jpg
17,429,"Marc Jacobs Designer Handbags, The Editor Leather Tote Bag","The Editor Tote crafted in smooth supple coated split leather, blends elegance and organized convenience into a bag that will take you through every scenario you can imagine. A special bonus is the interior section that unzips to open fully so you can get to everything you need in a flash. Featuring double flat stitched handles, two open compartments with wall organizer pouch, center full zip compartment, contrasting interior, detachable leather tag and light gold tone hardware. Signature dust bag included.","['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000000429.jpg
18,1449,Rebecca Minkoff Serra Foldover Clutch,Rebecca Minkoff Serra Foldover Clutch-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001449.jpg
19,1101,Longchamp Mademoiselle Small Leather Crossbody,Longchamp Mademoiselle Small Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001101.jpg
20,99,Lagos Sterling Silver Caviar Spark Diamond Square Stud Earrings,Lagos Sterling Silver Caviar Spark Diamond Square Stud Earrings-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000000099.jpg
21,482,Halston Heritage Tina Soft Large Suede Tote,Halston Heritage Tina Soft Large Suede Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000482.jpg
22,1505,Burberry Grey Small Banner Structured Tote,"Grained leather tote bag in limestone grey. Twin carry handles at top featuring d-ring hardware and press-stud tab. Adjustable and detachable pin-buckle shoulder strap featuring signature check pattern in red, black, tan, and white with lobster clasp fastening. Logo stamp in silver-tone at face. Expansion panel at sides featuring post-stud fastening. Zippered pocket, two patch pockets, and leather logo flag at interior. Textile lining featuring signature check pattern in tan, black, white, and red. Bumper studs at base. Silver-tone hardware. Tonal stitching. Approx. 10 length x 7.5 height x 4.5 width.","['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000001505.jpg
23,309,Fallon & Royce Paloma Straw Tote,Fallon & Royce Paloma Straw Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000309.jpg
24,2434,"Polo Ralph Lauren Mid-Rise Briefs, Pack of 4",A three pack of mid-rise briefs in classic cotton.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002434.jpg
25,1831,Tory Burch Georgia Slim Medium Leather Wallet,Tory Burch Georgia Slim Medium Leather Wallet-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001831.jpg
26,827,Michael Michael Kors Rhea Medium Zip Leather Backpack,Michael Michael Kors Rhea Medium Zip Leather Backpack-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000827.jpg
27,608,Michael Michael Kors Double Zip Smartphone Wristlet,Michael Michael Kors Double Zip Smartphone Wristlet-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000608.jpg
28,2082,Jacadi Boys' Striped Overalls - Baby,Jacadi Boys' Striped Overalls - Baby-Kids,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002082.jpg
29,832,Botkier Cobble Hill Leather Clutch,Botkier Cobble Hill Leather Clutch-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000832.jpg
30,711,Bric's X-Travel Urban Backpack,"Designed with convenience and mobility in mind, this sophisticated Bric's X-Travel Urban backpack features water-proof polyamide, full-grain vegetable-tanned leather trim from Italy, and a luxurious lining. Handsome and lightweight, this travel go-to is water-resistant, washable and won't fade easily despite constant exposure to sunlight.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000711.jpg
31,1139,Herschel Supply Co. Parcel Luggage,Herschel Supply Co. Parcel Luggage-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001139.jpg
32,2893,Turnbull & Asser Basic Solid Pocket Square with Border,"From Turnbull & Asser, this classic pocket square features an understated contrast border.",['Business'],https://s3.amazonaws.com/kalo-production/products/0004000002893.jpg
33,2664,"Frederique Constant Horological Smartwatch, 42mm","Frederique Constant Horological Smartwatch, 42mm-Jewelry & Accessories",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002664.jpg
34,26,Kendall and Kylie Skye Speccio Wristlet,Kendall and Kylie Skye Speccio Wristlet-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000026.jpg
35,2781,bag-all Zip Mouth Tote Bag,Carry this playful printed bag-all tote everywhere-a zipper mouth pocket and interior zip pocket stores small essentials.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002781.jpg
36,2404,The Men's Store at Bloomingdale's Textured Solid Dress Shirt - Contemporary Fit - 100% Exclusive,"With a crisp point collar and barrel cuff, this dress shirt from The Men's Store at Bloomingdale's will look sharp with dark trousers.",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002404.jpg
37,1585,See by Chloe Hana Small Leather & Suede Crossbody,See by Chloe Hana Small Leather & Suede Crossbody-Handbags,"['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000001585.jpg
38,2402,John Robshaw Cita Round Beach Towel,"John Robshaw thinks outside the rectangle with this exotic-meets-eye-catching round beach towel. Covered in a intriguing print inspired by embroidery, it's finished with pompom trim for extra playful edge.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002402.jpg
39,723,"Splendid Girls' Dip-Dye Cold-Shoulder Dress - Little Kid, Big Kid","Splendid Girls' Dip-Dye Cold-Shoulder Dress - Little Kid, Big Kid-Kids",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000000723.jpg
40,1062,Nadri Pave Drop Earrings,Finish off an elegant floor-length gown with a touch of sparkle at your ear lobes courtesy of Nadri's pave teardrop earrings.,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001062.jpg
41,443,Abyss Super Line Tubmat,"A signature bias trim and luxurious hand typifies the Abyss European tubmat. Dyed in piece so the bias, tubmat and care label are perfectly matched.",['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000443.jpg
42,2315,Alessi Minou Purse Hook,Keep your purse off the floor and clean with Alessi's whimsical Minou purse hool.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002315.jpg
43,1441,Rebecca Minkoff Jean Leather Crossbody,Rebecca Minkoff Jean Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001441.jpg
44,2748,"Quay Women's High Key Aviator Sunglasses, 56mm","Quay Women's High Key Aviator Sunglasses, 56mm-Jewelry & Accessories",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002748.jpg
45,986,Tory Burch Fleming Small Quilted Leather Crossbody,Tory Burch Fleming Small Quilted Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000986.jpg
46,122,Michael Michael Kors Half Dome Crossbody,Michael Michael Kors Half Dome Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000122.jpg
47,650,"Steve Madden Girls' Slingback Platform Sandals - Little Kid, Big Kid","Steve Madden Girls' Slingback Platform Sandals - Little Kid, Big Kid-Kids",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000650.jpg
48,245,Terez Girls' Hooded Top - Big Kid,Terez Girls' Hooded Top - Big Kid-Kids,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000245.jpg
49,2755,Bric's X-Bag Large Sportina Shopper,Bric's X-Bag Large Sportina Shopper-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002755.jpg
50,698,Michael Michael Kors Half Dome Leather Crossbody,Michael Michael Kors Half Dome Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000698.jpg
51,486,Elena Ghisellini Felina Small Leather Crossbody,Elena Ghisellini Felina Small Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000486.jpg
52,2596,Peridot Round Earrings in 14K Yellow Gold - 100% Exclusive,Peridot Round Earrings in 14K Yellow Gold - 100% Exclusive-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002596.jpg
53,199,Issey Miyake Ryusui Tote,Issey Miyake Ryusui Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000199.jpg
54,1276,Allsaints Cassie Leather Flap Crossbody,Allsaints Cassie Leather Flap Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001276.jpg
55,2606,Boss Ronn Flamingo Slim Fit Button-Down Shirt,Boss Ronn Flamingo Slim Fit Button-Down Shirt-Men,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002606.jpg
56,1839,"Ippolita Sterling Silver Cherish Chain, 40","Ippolita Sterling Silver Cherish Chain, 40-Jewelry & Accessories",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001839.jpg
57,1667,"Tara Pearls Cultured Tahitian Pearl Stud Earrings, 10mm","Naturally colored, cultured Tahitian black pearls make a statement on delicate stud earrings. From Tara Pearls.",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001667.jpg
58,2595,Ralph Lauren Supreme Comfort Sleep Shorts,"These cotton sleep shorts from Ralph Lauren offer soft, breathable comfort, whether you're lounging or heading to bed.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002595.jpg
59,2067,Chloe Girls' Denim Jacket with Embroidered Patches - Baby,Chloe Girls' Denim Jacket with Embroidered Patches - Baby-Kids,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002067.jpg
60,1216,Botkier Barrow Embossed Leather Crossbody,Botkier Barrow Embossed Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001216.jpg
61,1470,Nico Giani Lobivia Small Patent Leather Crossbody,Nico Giani Lobivia Small Patent Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001470.jpg
62,2460,Pre-Owned Rolex Stainless Steel and 18K Yellow Gold Two Tone Datejust Watch with Fluted Bezel and C,"Pre-Owned Rolex Stainless Steel and 18K Yellow Gold Two Tone Datejust Watch with Fluted Bezel and Champagne Dial, 26mm-Jewelry & Accessories",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002460.jpg
63,35,Matouk Seville Tub Mat - 100% Exclusive,Matouk Seville Tub Mat - 100% Exclusive-Home,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000035.jpg
64,1529,See by Chloe Joan Small Leather & Suede Convertible Shoulder Bag,See by Chloe Joan Small Leather & Suede Convertible Shoulder Bag-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001529.jpg
65,2569,Turnbull & Asser Slim Fit Poplin Dress Shirt,Turnbull & Asser updates the classic poplin shirt with subtle three button cuffs and a cutaway collar.,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002569.jpg
66,151,"Maaji Girls' Seaside Palenque Reversible 2-Piece Swimsuit - Little Kid, Big Kid","Maaji Girls' Seaside Palenque Reversible 2-Piece Swimsuit - Little Kid, Big Kid-Kids",['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000151.jpg
67,950,Michael Kors Ava Medium Scalloped Leather Satchel,Michael Kors Ava Medium Scalloped Leather Satchel-Handbags,['Business'],https://s3.amazonaws.com/kalo-production/products/0004000000950.jpg
68,863,"Bloomingdale's Diamond Milgrain Bezel Oval Hoop Earrings in 14K Yellow Gold, .50 ct. t.w. - 100% Ex","Bloomingdale's Diamond Milgrain Bezel Oval Hoop Earrings in 14K Yellow Gold, .50 ct. t.w. - 100% Exclusive-Jewelry & Accessories",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000000863.jpg
69,447,Pinch Provisions Minimergency Kit,Pinch Provisions Minimergency Kit-Handbags,['Business'],https://s3.amazonaws.com/kalo-production/products/0004000000447.jpg
70,1463,"Spiritual Gangster Girls' Hooded Rainbow Fleece Sweatshirt - Little Kid, Big Kid","Spiritual Gangster Girls' Hooded Rainbow Fleece Sweatshirt - Little Kid, Big Kid-Kids",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001463.jpg
71,2841,Ted Baker Brunswick Softside 4 Wheeled Cabin Case,Ted Baker Brunswick Softside 4 Wheeled Cabin Case-Home,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002841.jpg
72,2853,Meira T 14K White and Yellow Gold Diamond Open Circle Dangle Earrings,Meira T 14K White and Yellow Gold Diamond Open Circle Dangle Earrings-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002853.jpg
73,1627,Burberry Medium Nylon Backpack,Burberry Medium Nylon Backpack-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001627.jpg
74,1024,Mz Wallace Medium Soho Tote,Mz Wallace Medium Soho Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001024.jpg
75,2657,Matouk Letra Monogram Guest Towel - 100% Exclusive,Add a personal touch to your master suite or guest bath with this monogrammed towel.,"['Business', 'Formal']",https://s3.amazonaws.com/kalo-production/products/0004000002657.jpg
76,1001,Burberry Small Leather Belt Bag,Burberry Small Leather Belt Bag-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001001.jpg
77,141,"Burberry Girls' Tulisa Check Cuff Tee - Little Kid, Big Kid","Burberry Girls' Tulisa Check Cuff Tee - Little Kid, Big Kid-Kids",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000141.jpg
78,684,Tumi Packing Cube,"Hassle-free packing starts here. Organize your travels with this lightweight packing cube from Tumi. The quintessential must-pack item for frequent flyers, it allows you to organize daily outfits or simply keep your delicates separate from heavier items.",['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000684.jpg
79,1056,Allsaints Grail Slim Fit Polo,Allsaints Grail Slim Fit Polo-Men,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001056.jpg
80,576,"Victorinox Swiss Army Inox Pro Diver Watch, 45mm","Victorinox Swiss Army styles a durable timepiece meant for the open sea. With a rubber strap and 20 Atm water resistance, this dive-ready watch is ready to explore the ocean depths.",['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000576.jpg
81,725,Victorinox Swiss Army Avolve 3.0 Extra Large Spinner,"Lightweight and durable, the new Victorinox Avolve 3.0 collection pairs form and function for travel essentials that streamline packing. Features include premium, 50mm Hinomoto wheels for effortless 360-degree mobility, multiple organization pockets including a padded laptop compartment, an integrated Id tag, Tsa-approved combination lock and zippered expansion capability.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000725.jpg
82,159,Miss Behave Girls' Adrianna Embroidered Mesh Dress - Big Kid,Miss Behave Girls' Adrianna Embroidered Mesh Dress - Big Kid-Kids,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000000159.jpg
83,825,Dannijo Sargent Earrings,Dannijo Sargent Earrings-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000000825.jpg
84,624,Allsaints Kita Pebbled Leather Crossbody,This tumbled leather crossbody with two strap options offers the kind of effortlessly cool aesthetic you'd expect from Allsaints.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000624.jpg
85,1215,Bloomingdale's Medium Beach Bag - 100% Exclusive,Bloomingdale's Medium Beach Bag - 100% Exclusive-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001215.jpg
86,1555,David Yurman Chatelaine Earrings with Citrine,David Yurman Chatelaine Earrings with Citrine-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001555.jpg
87,746,"True Religion Boys' Paint-Splatter Tee - Little Kid, Big Kid","True Religion Boys' Paint-Splatter Tee - Little Kid, Big Kid-Kids",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000746.jpg
88,1007,"Tory Burch Designer Handbags, Pebble Leather Chelsea Crossbody Bag","Chelsea Crossbody Bag crafted in supple pebbled leather with hand painted finish, is a must-have in your bag rotation that can go from day to night with a classic charm. Featuring flap top hidden magnetic closure with logo medallion, adjustable chain shoulder strap, roomy main compartment, interior slip and zip pockets, and gold tone hardware.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001007.jpg
89,541,kate spade new york Girls' Ruffled Blooming Floral 2-Piece Swimsuit - Big Kid,kate spade new york Girls' Ruffled Blooming Floral 2-Piece Swimsuit - Big Kid-Kids,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000541.jpg
90,399,Marc Jacobs Sport Leather Tote,Marc Jacobs Sport Leather Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000399.jpg
91,2071,Kendra Scott Addie Drop Earrings,Kendra Scott Addie Drop Earrings-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002071.jpg
92,977,"Urban Republic Boys' Hooded Faux-Leather Jacket - Little Kid, Big Kid","Urban Republic Boys' Hooded Faux-Leather Jacket - Little Kid, Big Kid-Kids",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000977.jpg
93,1298,Bloomingdale's 14K Yellow Gold Huggie Earrings - 100% Exclusive,Bloomingdale's 14K Yellow Gold Huggie Earrings - 100% Exclusive-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001298.jpg
94,2628,Bric's Moleskine Crossbody,Bric's Moleskine Crossbody-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002628.jpg
95,2199,"Bric's Designer Travel Bags, Life - Medium Olive Green Micro Suede Rolling Duffle Bag","Life 21 in Medium Olive Green Micro Suede Rolling Duffle Bag from Bric's Life Collection, is handcrafted with suede effect PVC and trimmed with full grain Tuscan leather including the signature logo. Featuring retractable trolley handle, top and side handles, two wheels for easy transport and spacious external pocket. Interior is fully lined in signature fabric and features elasticated inserts to keep your items safe while traveling.",['Business'],https://s3.amazonaws.com/kalo-production/products/0004000002199.jpg
96,2277,Coyuchi Unisex Cloud Loom Organic Cotton Robe,Coyuchi Unisex Cloud Loom Organic Cotton Robe-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002277.jpg
97,1857,Street Level Avery Backpack,Street Level Avery Backpack-Handbags,"['Athletic', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000001857.jpg
98,1806,Rebecca Minkoff Leo Saffiano Leather Clutch,"Rebecca Minkoff pushes the envelope with this slim, chic clutch featuring zip trim for a subtle edge.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001806.jpg
99,2587,Uchino Zero Twist Hand Towel,Uchino Zero Twist Hand Towel-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002587.jpg
100,225,Pinch Provisions Travel Kit,Pinch Provisions Travel Kit-Handbags,['Business'],https://s3.amazonaws.com/kalo-production/products/0004000000225.jpg
101,2643,The Men's Store at Bloomingdales Cotton Blend Dress Socks - 100% Exclusive,"Lay a solid foundation for your workweek with these soft, cotton-blend dress socks from the always reliable The Men's Store.",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002643.jpg
102,1997,14K Rose Gold Twist Clover Earrings - 100% Exclusive,14K Rose Gold Twist Clover Earrings - 100% Exclusive-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001997.jpg
103,110,Rebecca Minkoff Washed Camo Tote,Rebecca Minkoff Washed Camo Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000110.jpg
104,588,"Native Girls' Jefferson Waterproof Slip-On Sneakers - Walker, Toddler, Little Kid","Native Girls' Jefferson Waterproof Slip-On Sneakers - Walker, Toddler, Little Kid-Kids",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000588.jpg
105,2685,Reigning Champ Core Slim Fit Jogger Sweatpants,Slip into these and get ready to lounge. Or maybe you feel more like shooting some hoops? These joggers by Reigning Champ fit your plans.,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000002685.jpg
106,880,"Hamilton Khaki Field Watch, 40mm","Hamilton Khaki Field Watch, 40mm-Jewelry & Accessories",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000880.jpg
107,1019,Nadri Leverback Earrings,"Nadri, purveyor of shimmering evening adornments, presents soiree-ready earrings strung with pave pendants.",['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001019.jpg
108,658,Salvatore Ferragamo Vela Large Leather Crossbody,Salvatore Ferragamo Vela Large Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000658.jpg
109,622,Aqua Skinny V Quilt Belt Bag - 100% Exclusive,Aqua Skinny V Quilt Belt Bag - 100% Exclusive-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000622.jpg
110,1864,Roberto Coin 18K Yellow Gold Round Hoop Earrings,Roberto Coin 18K Yellow Gold Round Hoop Earrings-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001864.jpg
111,1374,Kooba Monteverde Leather Mini Crossbody,Kooba Monteverde Leather Mini Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001374.jpg
112,1192,Tumi Voyageur Capri Crossbody,"Perfect for travel or everyday use, this slim crossbody design offers an extra sense of security. Features include interior and exterior pockets and top zip closure. Strap adjusts to maximum length of 51.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001192.jpg
113,1822,Ted Baker Payten Palace Gardens Tote,Ted Baker Payten Palace Gardens Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001822.jpg
114,47,Sunset & Spring Floral Sequin Crossbody - 100% Exclusive,Sunset & Spring Floral Sequin Crossbody - 100% Exclusive-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000047.jpg
115,1475,Robert Lee Morris Soho Hammered Hoop Earrings,A hammered finish makes these polished Robert Lee Morris Soho hoops unique.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001475.jpg
116,593,Mandarina Duck Popsicle One-Piece Half Cabin Kit - 100% Exclusive,Mandarina Duck Popsicle One-Piece Half Cabin Kit - 100% Exclusive-Home,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000000593.jpg
117,1801,Ralph Lauren Boys' Pima Pick-Stitch Shortall - Baby,Ralph Lauren Boys' Pima Pick-Stitch Shortall - Baby-Kids,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001801.jpg
118,2566,David Yurman Cable Wrap Earrings with Black Onyx,David Yurman Cable Wrap Earrings with Black Onyx-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002566.jpg
119,2903,Abyss Super Line Bath Sheet,A signature bias trim and luxurious hand typifies the ultra soft Abyss bath sheet.,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000002903.jpg
120,740,"Infant UGG Classic II Toddlers Boot, Size: 7 M, Grey Twinface","Boasting a traditional style, the UGG Classic II Boot is a perfect complement to your little one's wardrobe. A cushioned foam insole lined with UGGpure wool wicks moisture away, and the pretreated Twinface upper repels moisture and stains. Thanks to the Treadlite by UGG outsole, the Classic II ensures increased flexibility and traction for your child's foot. Cushioned foam insole lined with 17mm UGGpure wool Treadlite by UGG outsole 17mm Water resistant Twinface sheepskin upper Shaft can be cuffed Pretreated to repel moisture and stains Whipstitch detail Nylon binding. Size: 7 M. Color: Grey Twinface. Gender: Unisex. Age Group: Kids.",['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000740.jpg
121,116,Rebecca Minkoff Bree Medium Top Zip Satchel,Rebecca Minkoff Bree Medium Top Zip Satchel-Handbags,['Business'],https://s3.amazonaws.com/kalo-production/products/0004000000116.jpg
122,1401,Ippolita 18K Yellow Gold Cherish Mini Single Link Midi Ring,Ippolita 18K Yellow Gold Cherish Mini Single Link Midi Ring-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001401.jpg
