colors,id,tier,noise,occasion,style
{black},2000000291599,mid,neutral,Casual,0
"{grey,black}",2000000946623,mid,neutral,Casual,0
{grey},2000000123134,mid,neutral,Casual,0
{white},2000000158242,mid,neutral,Casual,0
"{black,grey}",2000000947392,designer,neutral,Casual,0
"{purple,grey,black}",2000000051412,mid,neutral,Casual,0
"{grey,beige}",2000000418014,mid,neutral,Casual,0
{grey},2000000375467,mid,neutral,Casual,0
"{beige,black}",2000000415309,mid,neutral,Casual,0
{grey},2000000246137,designer,neutral,Casual,0
{grey},2000000357269,mid,neutral,Casual,0
"{black,white}",2000000091866,mid,neutral,Casual,0
,2000000280965,mid,neutral,Casual,0
"{grey,green}",2000000347260,mid,neutral,Casual,0
{blue},2000000099675,mid,neutral,Casual,0
"{beige,black,red}",2000000504605,mid,neutral,Casual,0
"{beige,brown}",2000000071132,mid,neutral,Casual,0
{black},2000000225508,mid,neutral,Casual,0
"{white,beige}",2000000030491,mid,neutral,Casual,0
{white},2000000422802,designer,neutral,Casual,0
"{black,brown,green}",2000000165774,mid,neutral,Casual,0
"{black,grey}",2000000036830,mid,neutral,Casual,0
{white},2000000114455,mid,neutral,Casual,0
{purple},2000000237896,mid,neutral,Casual,0
"{beige,brown}",2000000373903,mid,neutral,Casual,0
"{black,white,beige}",2000000016316,mid,neutral,Casual,0
"{brown,beige}",2000000289409,mid,neutral,Formal,0
{grey},2000000348792,mid,neutral,Casual,0
"{black,grey,brown}",2000000226413,mid,neutral,Casual,0
{black},2000000225721,mid,neutral,Casual,0
"{grey,purple}",2000000381418,mid,neutral,Casual,0
{beige},2000000135104,designer,neutral,Casual,0
,2000000026591,mid,neutral,Casual,0
{beige},2000000167814,mid,neutral,Casual,0
{white},2000000324936,mid,neutral,Casual,0
{beige},2000000796191,mid,neutral,Casual,0
{grey},2000000221297,mid,neutral,Casual,0
"{grey,green}",2000000370378,mid,neutral,Casual,0
{beige},2000000009098,mid,neutral,Casual,0
"{Beige,White,Blue,Cyan}",2000000001214,mid,neutral,Casual,0
"{brown,grey,red,pink}",2000000181420,mid,loud,Casual,0
"{orange,yellow}",2000000825421,mid,loud,Casual,0
{grey},2000000362706,mid,neutral,Casual,0
"{white,grey}",2000000247123,mid,neutral,Casual,0
{grey},2000000359547,mid,neutral,Casual,0
"{Brown,Beige,Black}",2000000033749,designer,neutral,Athletic,0
{white},2000000364851,mid,neutral,Casual,0
"{brown,black,pink,green}",2000000856095,mid,loud,Casual,0
{grey},2000000239490,mid,neutral,Casual,0
"{brown,beige}",2000000238367,mid,neutral,Casual,0
"{black,beige,brown}",2000000100633,mid,neutral,Casual,0
{black},2000000240077,mid,neutral,Casual,0
"{beige,brown}",2000000244119,mid,neutral,Casual,0
{white},2000000196520,mid,neutral,Casual,0
{beige},2000000181015,mid,neutral,Casual,0
{beige},2000000858764,mid,neutral,Casual,0
"{white,beige}",2000000981157,designer,neutral,Casual,0
"{grey,blue}",2000000051370,mid,neutral,Casual,0
"{grey,black}",2000000944934,mid,neutral,Casual,0
"{grey,beige}",2000000421770,mid,neutral,Casual,0
{black},2000000377737,mid,neutral,Casual,0
{beige},2000000204286,mid,neutral,Formal,0
"{blue,grey}",2000000060790,mid,neutral,Casual,0
"{white,grey}",2000000166397,mid,neutral,Casual,0
{beige},2000000116426,mid,neutral,Casual,0
"{brown,black,beige}",2000000047493,mid,neutral,Casual,0
"{grey,beige}",2000000173752,mid,neutral,Business,0
{grey},2000000277382,designer,neutral,Casual,0
{black},2000000051317,mid,neutral,Casual,0
,2000000251436,mid,neutral,Casual,0
{grey},2000000096518,mid,neutral,Casual,0
"{blue,black}",2000000278969,mid,neutral,Casual,0
{beige},2000000368942,mid,neutral,Casual,0
{grey},2000000756593,mid,neutral,Casual,0
"{black,brown,red}",2000000468514,designer,neutral,Casual,0
"{beige,black}",2000000359115,mid,neutral,Casual,0
{grey},2000000362609,designer,neutral,Casual,0
{black},2000000611998,mid,neutral,Formal,0
"{blue,white,grey,beige,green}",2000000162104,mid,neutral,Casual,0
"{grey,blue}",2000000202508,mid,neutral,Casual,0
{blue},2000000098583,mid,neutral,Casual,0
{red},2000000362079,mid,neutral,Casual,0
{beige},2000000302370,mid,neutral,Casual,0
{beige},2000000267068,mid,neutral,Casual,0
{beige},2000000089998,mid,neutral,Casual,0
"{brown,black}",2000000051907,mid,neutral,Athletic,0
"{Beige,White,grey,Yellow}",2000000101498,mid,neutral,Casual,0
{black},2000000351058,designer,neutral,Casual,0
"{beige,black}",2000000364974,designer,neutral,Casual,0
"{white,grey}",2000000415951,mid,neutral,Casual,0
"{white,beige}",2000000291092,mid,neutral,Casual,0
"{black,grey}",2000000018407,mid,neutral,Casual,0
{white},2000000348700,mid,neutral,Casual,0
"{brown,cyan,purple,grey}",2000000301616,mid,loud,Casual,0
,2000000193279,designer,neutral,Casual,0
"{beige,grey}",2000000350582,mid,neutral,Athletic,0
{white},2000000132948,mid,neutral,Casual,0
{beige},2000000204391,mid,neutral,Casual,0
{beige},2000000203662,mid,neutral,Casual,0
,2000000019795,mid,neutral,Casual,0
"{white,grey}",2000000162767,mid,neutral,"Athletic,Casual",0
"{orange,beige}",2000000185055,designer,neutral,Casual,0
{white},2000000249576,mid,neutral,Casual,0
{white},2000000286201,mid,neutral,Athletic,0
{beige},2000000680457,mid,neutral,Casual,0
{red},2000000351949,mid,neutral,Athletic,0
{white},2000000862260,mid,neutral,Casual,0
{grey},2000000103952,mid,neutral,Casual,0
"{Beige,Brown,Green,grey}",2000000050843,mid,neutral,Casual,0
{red},2000000620656,mid,neutral,Casual,0
"{black,grey}",2000000268280,mid,neutral,Casual,0
"{black,grey}",2000000246561,mid,neutral,Casual,0
{blue},2000000367873,mid,neutral,Casual,0
"{grey,black}",2000000194319,mid,neutral,"Athletic,Casual",0
"{grey,white}",2000000176903,mid,neutral,Casual,0
"{black,red,beige,grey}",2000000289204,mid,neutral,Casual,0
"{blue,red}",2000000621431,mid,neutral,Casual,0
"{brown,blue}",2000000868390,mid,neutral,Casual,0
"{black,purple}",2000000197137,mid,neutral,Athletic,0
"{brown,grey}",2000001120816,mid,neutral,Casual,0
"{beige,grey}",2000000283930,mid,neutral,Casual,0
"{black,grey}",2000000303117,designer,neutral,Casual,0
"{beige,pink}",2000000738641,mid,neutral,Casual,0
{black},2000000145423,mid,neutral,"Athletic,Casual",0
"{white,beige}",2000000421849,mid,neutral,Casual,0
"{grey,beige}",2000000314184,mid,neutral,Casual,0
{grey},2000000294817,mid,neutral,Casual,0
{beige},2000000118556,mid,neutral,Casual,0
{white},2000000359843,mid,neutral,Casual,0
,2000000161686,mid,neutral,Casual,0
{black},2000000437207,mid,neutral,Casual,0
"{grey,brown}",2000000293414,mid,neutral,Casual,0
"{grey,brown}",2000000157849,mid,neutral,Casual,0
{grey},2000000326172,mid,neutral,Casual,0
{black},2000000292275,mid,neutral,Casual,0
{grey},2000000154109,mid,neutral,Casual,0
"{beige,cyan}",2000000088655,mid,neutral,Casual,0
{white},2000000356620,mid,neutral,Casual,0
"{grey,black,brown}",2000000038107,mid,neutral,Casual,0
{black},2000000136314,mid,neutral,Casual,0
{grey},2000000188401,mid,neutral,Casual,0
"{black,brown,grey,beige}",2000000002357,mid,neutral,Casual,0
{grey},2000000334216,mid,neutral,Casual,0
{white},2000000022600,mid,neutral,Casual,0
"{white,grey}",2000000224524,mid,neutral,Casual,0
"{Blue,Beige,grey,White}",2000000015768,mid,neutral,Casual,0
"{grey,purple,blue}",2000000103655,mid,neutral,Casual,0
{orange},2000000604967,mid,neutral,Casual,0
"{purple,beige,green}",2000000074707,mid,loud,Formal,0
"{beige,white}",2000000082230,designer,neutral,Casual,0
{black},2000000558936,mid,neutral,Casual,0
"{black,grey}",2000000565537,mid,neutral,Casual,0
"{cyan,brown}",2000000858543,mid,neutral,Casual,0
{cyan},2000000151686,mid,neutral,Casual,0
"{brown,grey,red,black,cyan,blue}",2000000003632,mid,loud,Casual,0
{black},2000000418851,mid,neutral,Casual,0
"{brown,grey}",2000000310169,mid,neutral,Casual,0
"{brown,beige}",2000000355105,mid,neutral,Casual,0
{white},2000000263764,mid,neutral,Casual,0
"{beige,brown}",2000000511283,mid,neutral,Casual,0
{black},2000000268384,mid,neutral,Casual,0
"{Blue,grey,Black,Cyan,Green}",2000000145827,mid,loud,Formal,0
{green},2000000849822,mid,neutral,Casual,0
"{grey,beige,brown}",2000000107234,mid,neutral,Casual,0
{white},2000000306200,mid,neutral,"Athletic,Casual",0
{Brown},2000000316588,mid,neutral,Casual,0
"{brown,beige}",2000000419915,mid,neutral,Casual,0
"{black,grey}",2000000240634,mid,neutral,"Athletic,Casual",0
{green},2000000156443,designer,neutral,Casual,0
{beige},2000000056591,mid,neutral,Athletic,0
"{grey,black}",2000000363045,mid,neutral,Casual,0
"{black,beige,grey,brown,blue,white}",2000000464602,mid,neutral,Casual,0
"{black,brown}",2000000292950,mid,neutral,Formal,0
"{blue,grey,purple,green}",2000000294381,mid,loud,Casual,0
"{beige,brown}",2000000371509,mid,neutral,Casual,0
{white},2000000746988,mid,neutral,Casual,0
"{beige,brown,grey,black}",2000000013164,mid,neutral,Casual,0
"{black,blue}",2000000747747,mid,neutral,Casual,0
"{Blue,Black,Brown,Red,Pink,Beige,Orange}",2000000191493,mid,loud,Casual,0
{grey},2000000348136,mid,neutral,Casual,0
"{beige,grey}",2000000014009,mid,neutral,Casual,0
"{grey,brown}",2000000078920,mid,neutral,Casual,0
{black},2000000241248,mid,neutral,Casual,0
"{beige,brown,black}",2000000289457,mid,neutral,Casual,0
{blue},2000000788079,mid,neutral,Casual,0
"{brown,grey}",2000000261703,designer,neutral,Casual,0
{black},2000000647088,mid,neutral,Casual,0
"{grey,white}",2000000186804,mid,neutral,Casual,0
{black},2000000102392,mid,neutral,Casual,0
"{White,Beige,grey}",2000000042675,mid,neutral,Formal,0
,2000000184088,mid,neutral,Casual,0
{black},2000000288370,mid,neutral,Casual,0
{cyan},2000000227674,mid,neutral,Casual,0
"{beige,brown}",2000000430723,mid,neutral,Casual,0
"{grey,black}",2000000200944,mid,neutral,Casual,0
"{brown,purple,black}",2000000102401,mid,neutral,Casual,0
"{grey,brown}",2000000175845,mid,neutral,Casual,0
"{grey,brown}",2000000288162,mid,neutral,Casual,0
"{brown,pink,red}",2000000174175,designer,loud,Casual,0
{black},2000000958831,mid,neutral,Casual,0
"{black,grey}",2000000981140,mid,neutral,Casual,0
"{grey,white}",2000000326497,designer,neutral,Casual,0
"{beige,red}",2000000394570,mid,neutral,Casual,0
"{grey,red,black}",2000000867041,mid,neutral,Casual,0
"{brown,beige}",2000000122813,mid,neutral,Casual,0
"{pink,beige}",2000000012133,mid,neutral,Casual,0
"{black,red}",2000000240767,mid,neutral,Casual,0
{grey},2000000365831,mid,neutral,Casual,0
"{brown,cyan}",2000000302431,designer,neutral,Casual,0
{beige},2000000317489,mid,neutral,Casual,0
"{brown,grey}",2000000301201,designer,neutral,Casual,0
"{white,beige}",2000000660736,mid,neutral,Athletic,0
{grey},2000000160194,mid,neutral,Casual,0
"{purple,grey}",2000000858035,mid,neutral,Casual,0
{cyan},2000000184154,mid,neutral,Athletic,0
"{grey,white}",2000000434681,mid,neutral,Casual,0
{pink},2000000244368,mid,neutral,Athletic,0
"{beige,brown,red,black,purple}",2000000041527,mid,loud,Casual,0
{black},2000000165715,mid,neutral,Casual,0
{Green},2000000225398,mid,neutral,Casual,0
{Beige},2000000181468,mid,neutral,Casual,0
"{brown,purple,blue}",2000000291090,mid,neutral,Casual,0
"{brown,beige}",2000000352472,mid,neutral,Casual,0
{white},2000000194357,mid,neutral,Casual,0
{brown},2000000304652,mid,neutral,"Athletic,Casual",0
{brown},2000000087522,mid,neutral,Casual,0
"{grey,brown}",2000000346755,mid,neutral,Casual,0
"{beige,brown}",2000000164505,mid,neutral,Casual,0
"{beige,grey}",2000000054230,mid,neutral,Casual,0
"{red,black}",2000000240406,mid,neutral,Casual,0
{blue},2000000139457,mid,neutral,Casual,0
"{black,red}",2000000475145,mid,neutral,Casual,0
{white},2000000371174,designer,neutral,Casual,0
{black},2000000764400,mid,neutral,Casual,0
"{grey,white}",2000000243190,mid,neutral,Casual,0
{white},2000000167290,mid,neutral,Casual,0
{black},2000000165521,mid,neutral,Casual,0
"{beige,brown}",2000000220694,mid,neutral,Casual,0
"{cyan,blue}",2000000195496,mid,neutral,Casual,0
"{purple,grey,black,brown,cyan,green,blue}",2000000087808,mid,loud,Casual,0
"{beige,brown}",2000000121028,mid,neutral,Formal,0
"{beige,brown}",2000000057918,mid,neutral,Casual,0
{black},2000000111160,mid,neutral,Casual,0
"{Beige,grey,Blue}",2000000073576,mid,neutral,Casual,0
"{brown,beige}",2000000086357,mid,neutral,"Casual,Formal",0
"{black,blue}",2000000325262,mid,neutral,Casual,0
"{black,beige}",2000000202998,mid,neutral,Casual,0
{grey},2000000364756,mid,neutral,Casual,0
{black},2000000172518,mid,neutral,Casual,0
"{black,grey}",2000000108408,designer,neutral,Casual,0
"{black,grey,white}",2000000221065,designer,neutral,Formal,0
{pink},2000000958885,mid,neutral,Casual,0
"{black,grey}",2000000044338,mid,neutral,Casual,0
"{black,brown}",2000000494882,mid,neutral,Formal,0
{brown},2000000195104,mid,neutral,Casual,0
"{white,beige}",2000000011073,mid,neutral,Casual,0
"{grey,brown}",2000000368388,mid,neutral,Casual,0
"{white,black}",2000000220927,mid,neutral,Casual,0
{white},2000000113138,mid,neutral,Casual,0
"{black,grey}",2000000350037,mid,neutral,Casual,0
{grey},2000000224891,mid,neutral,Casual,0
{black},2000000191969,mid,neutral,Casual,0
{white},2000000248520,mid,neutral,Casual,0
"{grey,beige}",2000000251098,mid,neutral,Casual,0
"{green,grey}",2000000243267,mid,neutral,Casual,0
"{black,blue}",2000000077901,mid,neutral,Casual,0
"{beige,brown}",2000000419456,mid,neutral,Casual,0
"{white,cyan,beige}",2000000205277,mid,neutral,Casual,0
"{beige,brown}",2000000945461,mid,neutral,Casual,0
"{white,grey}",2000000101383,mid,neutral,Casual,0
"{beige,red}",2000000180826,mid,neutral,Casual,0
{black},2000000557897,mid,neutral,Casual,0
"{black,brown}",2000000866601,mid,neutral,Casual,0
"{brown,beige,grey,white,black,green}",2000000124870,mid,neutral,Casual,0
{blue},2000000136218,mid,neutral,Casual,0
"{white,grey}",2000000320846,mid,neutral,Casual,0
{brown},2000000040371,mid,neutral,Casual,0
"{grey,black}",2000000434336,mid,neutral,Casual,0
{black},2000000105537,mid,neutral,Casual,0
{black},2000000418031,mid,neutral,Casual,0
{beige},2000000112529,mid,neutral,Athletic,0
"{black,white,brown,grey,beige}",2000000400425,mid,neutral,Casual,0
"{blue,brown}",2000000100522,mid,neutral,Formal,0
"{brown,grey}",2000000111496,mid,neutral,Formal,0
{black},2000000389302,mid,neutral,Casual,0
"{beige,brown,black}",2000000472693,mid,neutral,Casual,0
"{brown,white,beige}",2000000083557,mid,neutral,Casual,0
{grey},2000001120289,mid,neutral,Casual,0
"{green,orange,brown}",2000000125519,mid,loud,Casual,0
"{brown,beige}",2000000943653,mid,neutral,Formal,0
{white},2000000359763,mid,neutral,"Athletic,Casual",0
"{beige,grey}",2000000318447,mid,neutral,Casual,0
"{beige,white,brown}",2000000199893,mid,neutral,Casual,0
"{blue,grey,white,purple}",2000000073788,mid,neutral,Casual,0
"{grey,beige,brown}",2000000300379,mid,neutral,Casual,0
{grey},2000000261785,mid,neutral,Casual,0
{brown},2000000570597,mid,neutral,Casual,0
"{beige,grey}",2000000041173,mid,neutral,Casual,0
{beige},2000000512114,mid,neutral,Casual,0
{red},2000000249021,mid,neutral,Casual,0
"{black,brown}",2000000157596,designer,neutral,Casual,0
{black},2000000984769,mid,neutral,Casual,0
"{grey,black,cyan,brown}",2000000163004,mid,neutral,Formal,0
{black},2000000602049,designer,neutral,Casual,0
{black},2000000667501,mid,neutral,Casual,0
{white},2000000301813,mid,neutral,Casual,0
{blue},2000000784566,mid,neutral,Casual,0
"{grey,beige}",2000000360936,mid,neutral,Formal,0
{grey},2000000226471,mid,neutral,Casual,0
"{black,beige}",2000000358078,mid,neutral,Casual,0
{black},2000000085985,mid,neutral,Casual,0
"{beige,black}",2000000016629,mid,neutral,Casual,0
"{brown,beige}",2000000117699,designer,neutral,Casual,0
"{blue,green,purple}",2000000263146,mid,loud,Casual,0
"{black,grey}",2000000851780,mid,neutral,Casual,0
{grey},2000000282729,mid,neutral,Formal,0
"{black,purple}",2000000141640,mid,neutral,Casual,0
{red},2000000162291,mid,neutral,Casual,0
"{Black,Beige}",2000000173222,mid,neutral,Casual,0
"{grey,white}",2000000265585,mid,neutral,Casual,0
{white},2000000236992,mid,neutral,Casual,0
"{grey,brown}",2000000139115,designer,neutral,Casual,0
{red},2000000943973,mid,neutral,Casual,0
"{brown,grey,purple}",2000000421306,mid,neutral,Athletic,0
{blue},2000000743532,mid,neutral,Casual,0
"{beige,red,black,brown}",2000000143180,mid,neutral,Casual,0
"{brown,black,beige,green,white}",2000000012746,mid,neutral,Casual,0
"{beige,pink,cyan,blue,white,green}",2000000867774,mid,loud,Formal,0
"{beige,white}",2000000301605,designer,neutral,Casual,0
"{beige,black,blue}",2000000133698,mid,neutral,Casual,0
"{purple,black,beige}",2000000947010,designer,neutral,Formal,0
{white},2000000600408,mid,neutral,Casual,0
"{black,grey}",2000000574057,mid,neutral,Casual,0
"{black,grey}",2000000191739,mid,neutral,Casual,0
{grey},2000000366884,mid,neutral,Casual,0
"{grey,brown}",2000000424888,mid,neutral,Casual,0
{grey},2000000357918,mid,neutral,Casual,0
{beige},2000000126524,mid,neutral,Casual,0
"{black,grey}",2000000724988,mid,neutral,Casual,0
"{black,grey}",2000000371536,mid,neutral,Casual,0
{black},2000000234664,designer,neutral,Casual,0
"{beige,grey}",2000000265017,mid,neutral,Casual,0
"{White,Beige}",2000000305903,mid,neutral,Casual,0
"{black,yellow}",2000000612452,mid,neutral,Casual,0
{white},2000000643023,designer,neutral,Casual,0
{black},2000000817670,mid,neutral,Casual,0
"{blue,brown,beige,purple}",2000000462296,mid,neutral,Casual,0
{grey},2000000246159,mid,neutral,Casual,0
"{grey,brown,beige}",2000000147138,mid,neutral,Casual,0
{grey},2000000600807,mid,neutral,Casual,0
{grey},2000000161988,mid,neutral,Casual,0
{black},2000000286612,mid,neutral,Casual,0
"{beige,brown}",2000000060811,mid,neutral,Casual,0
"{grey,white}",2000000357021,mid,neutral,Casual,0
{Black},2000000323974,mid,neutral,Casual,0
"{black,red}",2000000952116,mid,neutral,Casual,0
"{red,brown}",2000000425843,mid,neutral,Casual,0
"{brown,black,beige}",2000000010465,mid,neutral,Casual,0
"{beige,white,grey}",2000000311227,mid,neutral,Casual,0
"{white,grey}",2000000374686,mid,neutral,Casual,0
"{white,grey}",2000000362856,mid,neutral,"Athletic,Casual",0
"{white,beige,green}",2000000118575,designer,neutral,Casual,0
"{yellow,brown}",2000000423418,mid,neutral,Casual,0
"{white,black}",2000000117156,mid,neutral,Casual,0
"{purple,cyan,blue}",2000000281413,mid,loud,Casual,0
"{pink,brown}",2000000298330,mid,neutral,Casual,0
"{pink,green,beige}",2000000173264,mid,loud,Casual,0
{grey},2000000265534,mid,neutral,Casual,0
{blue},2000000278927,mid,neutral,Casual,0
"{black,brown,grey}",2000000119169,mid,neutral,Casual,0
{grey},2000000239200,mid,neutral,Casual,0
"{beige,brown}",2000000015972,mid,neutral,Casual,0
"{brown,beige}",2000000044361,mid,neutral,Casual,0
"{grey,black}",2000000949426,mid,neutral,Casual,0
{white},2000000192258,mid,neutral,Casual,0
"{black,grey,blue,green,beige,red}",2000000003931,designer,loud,Casual,0
{beige},2000000135166,mid,neutral,Casual,0
"{white,beige,black,grey}",2000000095227,mid,neutral,Casual,0
"{grey,yellow,green}",2000000203279,mid,loud,Casual,0
{black},2000000203241,mid,neutral,Casual,0
{blue},2000000004228,mid,neutral,Formal,0
"{White,Beige,grey}",2000000100875,mid,neutral,Casual,0
{black},2000000427449,mid,neutral,Casual,0
"{brown,black}",2000000119082,mid,neutral,Formal,0
{grey},2000000020013,mid,neutral,Formal,0
"{beige,brown}",2000000087268,mid,neutral,Casual,0
"{brown,beige}",2000000296765,mid,neutral,Casual,0
"{beige,white,blue}",2000000055714,mid,neutral,Casual,0
"{grey,brown}",2000000642888,designer,neutral,Casual,0
{grey},2000000350779,mid,neutral,Casual,0
"{white,grey}",2000000113788,mid,neutral,Casual,0
"{purple,grey,black}",2000000708439,mid,neutral,Casual,0
"{Brown,Black,Beige,Pink}",2000000227370,mid,neutral,Casual,0
{grey},2000000646027,mid,neutral,Casual,0
"{black,beige}",2000000315519,mid,neutral,Casual,0
"{black,grey}",2000000237649,mid,neutral,Formal,0
{grey},2000000180482,mid,neutral,Casual,0
"{black,beige,cyan}",2000000036047,mid,neutral,Casual,0
{brown},2000000063335,mid,neutral,Casual,0
"{grey,blue}",2000000152756,mid,neutral,Casual,0
{beige},2000000347293,mid,neutral,Formal,0
"{black,grey}",2000000184057,mid,neutral,Casual,0
"{white,beige}",2000000272235,mid,neutral,Casual,0
"{grey,beige}",2000000148599,mid,neutral,Casual,0
"{black,beige}",2000000096314,mid,neutral,Casual,0
"{brown,black,grey}",2000000192157,mid,neutral,Casual,0
{white},2000000160738,mid,neutral,Casual,0
"{black,grey}",2000000245122,mid,neutral,Casual,0
{grey},2000000261789,designer,neutral,Casual,0
"{blue,black}",2000000637868,mid,neutral,Casual,0
"{grey,black}",2000000633295,mid,neutral,Casual,0
{grey},2000000310602,mid,neutral,Casual,0
"{brown,beige}",2000000004710,mid,neutral,Casual,0
"{black,brown}",2000000382113,mid,neutral,Casual,0
"{brown,black}",2000000242941,mid,neutral,Casual,0
{white},2000000332559,mid,neutral,Casual,0
"{cyan,purple,beige,grey,green}",2000000168048,mid,loud,Casual,0
"{black,grey}",2000000170366,mid,neutral,Casual,0
"{white,beige,grey}",2000000289563,mid,neutral,Casual,0
"{beige,grey}",2000000139014,mid,neutral,Casual,0
{blue},2000000056697,mid,neutral,Casual,0
"{grey,beige,black}",2000000281782,mid,neutral,Casual,0
{beige},2000000511671,mid,neutral,Casual,0
"{beige,brown}",2000000263683,mid,neutral,Casual,0
{orange},2000000410341,mid,neutral,Casual,0
{grey},2000000945609,mid,neutral,Casual,0
{black},2000000126722,mid,neutral,Casual,0
{brown},2000000071628,mid,neutral,Casual,0
"{black,grey}",2000000165609,mid,neutral,Casual,0
"{beige,black}",2000000409148,mid,neutral,Casual,0
"{beige,orange,brown}",2000000205967,mid,neutral,Casual,0
"{beige,grey}",2000000150468,mid,neutral,Casual,0
