brand,info,retailer,name,price,unbranded_name,sale_price,categories,tier,,,
Nordstrom,Round-cut cubic zirconia drops framed in halos of sparkling pave make classic and elegant day-to-night earrings. Style Name: Nordstrom Cubic Zirconia Halo Drop Earrings. Style Number: 5570945. Available in stores.,NORDSTROM,Women's Nordstrom Cubic Zirconia Halo Drop Earrings,39,Women's Nordstrom Cubic Zirconia Halo Drop Earrings,39,"{women_accessory,women_all,women_earrings}",,,,
Clarins,"What It Is: Sheer, sparking color-plus 6 hours of non-stop moisture your lips will feel good about* What It Does: Enriched with super-hydrating Organic Marsh Samphire extract, nourishing Mango oil and Clarins' exclusive Shine Booster Complex to leave lips luminous and luscious. Key Ingredients: - Organic Marsh Samphire extract promotes long-lasting hydration for soft, well-defined lips. - Mango oil nourishes, softens and helps protect lips from dehydration. - Clarins Shine Booster Complex magnif",Bloomingdale's,Clarins Joli Rouge Brillant,30,Clarins Joli Rouge Brillant,,"{men_key_chains,men_accessory,men_all,women_key_chains,women_accessory,women_all,key_chains}",,,,
Diesel,"Black and red stretch cotton UFSB-Bras tie-dye bralette from Diesel featuring a scoop neck, a sleeveless design, a scoop back and an elasticated red logo band. Underwear and lingerie must be tried on over your own garments.",Farfetch,"Diesel - UFSB-Bras tie-dye bralette - women - Cotton/Spandex/Elastane - XS, S, M, XXS - Black",38,"Diesel - UFSB-Bras tie-dye bralette - women - Cotton/Spandex/Elastane - XS, S, M, XXS - Black",38,"{women_clothing,women_all,women_intimates}",,,,
Kim Seybert,"Dip dyed linen napkin with contrast border. Approx. 21""Sq. Hand wash or machine was on delicate cycle separately with mild detergent, machine dry low and remove promptly, steam iron while damp on reverse side. Do not bleach. Imported.",Bergdorf Goodman,Dip Dye Napkin,45,Dip Dye Napkin,,"{men_scarves,women_clothing,women_swimwear,women_all,men_all,men_accessory}",,,,
Estee Lauder,"What it is: A twinkly, microfine glitter that delivers glamour, fantasy and mystery. What it does: Designed to be used alone or on top of eyeshadow, this sparkling glitter can also add dazzle to your cheekbones, cupid's bow and bare shoulders. How to use: Apply your makeup first. Dip a brush or finger into the glitter and pat on. Style Name: Estee Lauder Violette La Dangereuse Glitter Pot. Style Number: 5689876. Available in stores.",NORDSTROM,Estee Lauder Violette La Dangereuse Glitter Pot -,26,Estee Lauder Violette La Dangereuse Glitter Pot -,26,"{women_clothing,women_tops,women_all}",,,,
Unionbay,"Wide-wale ribbed velour gives this fitted, cropped tee a retro feel. Style Name: Unionbay Adella Ribbed Velour Crop Tee. Style Number: 5874308. Available in stores.",NORDSTROM,Women's Unionbay Adella Ribbed Velour Crop Tee,30,Women's Unionbay Adella Ribbed Velour Crop Tee,30,{women tops},,,,
BP.,Shield the sun and envious stares in these chunky square sunnies crafted with hand-polished frames and gradient lenses. Style Name: Bp. 55Mm Square Sunglasses. Style Number: 5861570 1. Available in stores.,NORDSTROM,Women's Bp. 55Mm Square Sunglasses -,19,Women's Bp. 55Mm Square Sunglasses -,11.4,"{women_accessory,women_all,women_eyewear}",,,,
Fashion Forms,Fashion Forms Silicone Cleavage Enhancement Adhesive Bra-Women,Bloomingdale's,Fashion Forms Silicone Cleavage Enhancement Adhesive Bra,36,Fashion Forms Silicone Cleavage Enhancement Adhesive Bra,,"{women_clothing,women_all,women_intimates}",,,,
Calvin Klein,Finely patterned socks are crafted from a soft combed-cotton blend. Style Name: Calvin Klein 3-Pack Patterned Dress Socks. Style Number: 333600 5. Available in stores.,NORDSTROM,Men's Calvin Klein 3-Pack Patterned Dress Socks,22,Men's Calvin Klein 3-Pack Patterned Dress Socks,10.19,"{men_clothing,men_all,men_intimates}",,,,
Elizabeth and James,"What it is: Nirvana Bourbon is a provocative blend of sultry vanilla bourbon, oakwood and a hint of tuberose for a bold, oriental-woody scent with intoxicating confidence. Fragrance story: Bringing a lightness to Nirvana, the amber-toned bottle with rich gold accents blends feminine curves with contrasting architectural lines. Launched in 2007, Elizabeth and James embodies the duality of sophistication and feminine detail balanced with downtown",NORDSTROM,Elizabeth And James Nirvana Bourbon Eau De Parfum Rollerball,28,Elizabeth And James Nirvana Bourbon Eau De Parfum Rollerball,28,"{women_clothing,women_all,women_tops}",,,,
Knotty,"A sleek ball-and-hoop design lends a modern, sculptural look to lariat necklace with a delicate chain. Style Name: Knotty Lariat Necklace. Style Number: 5806728. Available in stores.",NORDSTROM,Women's Knotty Lariat Necklace,44,Women's Knotty Lariat Necklace,44,"{women_accessory,women_all,women_necklaces}",,,,
Wacoal,An everyday thong of supersoft fabric has just the right coverage to keep you looking (and feeling) good all day long. Style Name: Wacoal Flawless Comfort Thong. Style Number: 5886399. Available in stores.,NORDSTROM,"Women's Wacoal Flawless Comfort Thong, Size XX-Large - Beige",19,"Women's Wacoal Flawless Comfort Thong, Size XX-Large - Beige",19,"{women_clothing,women_all,women_intimates}",,,,
Juliska,"Whether elegant or casual, sophisticated or modern, Juliska Berry & Thread whitewash-finished serveware perfectly suits any table setting.",Bergdorf Goodman,Berry & Thread Handled Soup Bowl,38,Berry & Thread Handled Soup Bowl,,"{luggage,men_clothing,men_suits,women_luggage,women_all,men_bag,women_bag,men_luggage,men_all}",,,,
BP.,Go for cute and comfy on casual days in this sleek and stretchy ribbed top. Style Name: Bp. Long Sleeve Ribbed Tee (Plus Size). Style Number: 5780412. Available in stores.,NORDSTROM,Plus Size Women's Bp. Long Sleeve Ribbed Tee,29,Plus Size Women's Bp. Long Sleeve Ribbed Tee,17.4,"{women_clothing,women_all,women_tops}",,,,
Topman,"A heathered knit yoke and dropped shoulders top striped panels on a slouchy, oversized T-Shirt made of lightweight interlock. Style Name: Topman Stripe Oversize T-Shirt. Style Number: 5864541. Available in stores.",NORDSTROM,Men's Topman Stripe Oversize T-Shirt,30,Men's Topman Stripe Oversize T-Shirt,18,"{men_clothing,men_sweater,men_all}",,,,
Ursa Major,"What it is: An award-winning, natural deodorant that eliminates underarm odor while absorbing excess oil and soothing sensitive skin. What it does: Its reliable performance, healthy ingredients and invigorating aroma keep you fresh all day long. The non-staining formula is 100% naturally derived and toxin-free. It's scented with a crisp and naturally cooling blend of peppermint, eucalyptus, rosemary, grapefruit, chamomile and lemon. How to use:",NORDSTROM,Ursa Major Hoppin' Fresh Deodorant,18,Ursa Major Hoppin' Fresh Deodorant,18,"{women sweater,men shirts}",,,,
Alex and Ani,Alex and Ani Grandmother Expandable Wire Bangle Bracelet-Jewelry & Accessories,Bloomingdale's,Alex and Ani Grandmother Expandable Wire Bangle Bracelet,32,Alex and Ani Grandmother Expandable Wire Bangle Bracelet,,"{women_accessory,women_all,women_bracelets}",,,,
Bobbi Brown,"Bobbi Brown Perfectly Defined Gel Eyeliner DetailsThe secret to making eyes stand out is all about definition. This unique gel-based pencil delivers richly pigmented color and precision lining with with up to 12 hours of waterproof wear. The best part? A twist-up design lets you apply on the go, while a built-in sharpener ensures the most precise application every time. Paraben-Free. Phthalate-Free. Sulfate-Free. Sulfite-Free. Gluten-Free Who It's For: Women who want an ultra precise eye line.",Bergdorf Goodman,Perfectly Defined Gel Eyeliner,27,Perfectly Defined Gel Eyeliner,27,"{women_tech_accessories,luggage}",,,,
Dior,"What It Is: Three nail lacquer shades inspired by the colors of the city to reveal a strong and confident woman. What It Does: Shine. Gel coat resins with intense purity combined with a techno-polymer transform each coat of lacquer into a film as smooth and shiny as glass. Long-wear. Enriched with non-mineral silicon, Dior Vernis strengthens the nail surface for optimal hold, while the techno-polymer creates a seamless bond between the lacquer and the nail. For truly long-lasting wear. Free Of.",Bergdorf Goodman,"Couture Color, Gel Shine & Long Wear Nail Lacquer",28,"Couture Color, Gel Shine & Long Wear Nail Lacquer",28,"{women_clothing,women_all,women_intimates}",,,,
Kim Seybert,"Reef embroidered napkin. Approximately 21""Sq. Crafted of linen and cotton. Machine wash. Imported.",Bergdorf Goodman,Reef Napkin,30,Reef Napkin,15,"{women_clothing,women_all,women_intimates,men_accessory,men_all,men_scarves}",,,,
All in Favor,A ribbed crewneck sweater is updated with dropped shoulders for a cozy and trend-right vibe. Style Name: All In Favor Ribbed Sweater. Style Number: 5957053. Available in stores.,NORDSTROM,Women's All In Favor Ribbed Sweater,45,Women's All In Favor Ribbed Sweater,45,"{women_clothing,women_all,women_sweater}",,,,
Topshop,"Highlight your laid-back look in this braided raffia belt styled with a chic geo buckle, accented with golden gleam. Style Name: Topshop Wavy Raffia Belt. Style Number: 5907959. Available in stores.",NORDSTROM,Women's Topshop Wavy Raffia Belt,35,Women's Topshop Wavy Raffia Belt,35,"{women_accessory,women_all,women_belts}",,,,
Topman,"A ring-pull zipper brings gleaming, curvy counterpoint to the geometric check pattern gridding a polo topped with a smart-looking collar. Style Name: Topman Prince Of Wales Check Classic Fit Zip Polo. Style Number: 5942940. Available in stores.",NORDSTROM,Men's Topman Prince Of Wales Check Classic Fit Zip Polo,45,Men's Topman Prince Of Wales Check Classic Fit Zip Polo,45,"{men_polo,men_clothing,men_all}",,,,
Sparrow & Wren,Sparrow & Wren Monogrammed Mug - 100% Exclusive-Home,Bloomingdale's,Sparrow & Wren Monogrammed Mug - 100% Exclusive,8,Sparrow & Wren Monogrammed Mug - 100% Exclusive,,"{luggage,men_clothing,women_luggage,women_all,men_bag,men_luggage,women_bag,men_intimates,men_all}",,,,
Nordstrom Men's Shop,"Even a little gust of wind won't bother this water-repellent umbrella, thanks to the tiered vented canopy and classic non-telescoping cane shaft made of durable fiberglass. Style Name: Nordstrom Men's Shop Umbrella. Style Number: 5343857. Available in stores.",NORDSTROM,Nordstrom Men's Shop Umbrella -,29.5,Nordstrom Men's Shop Umbrella -,29.5,{umbrellas},,,,
Anastasia Beverly Hills,"What It Is: A cream-to-powder pencil with shimmer and matte formulas that may be worn separate or together. Ingredients: - Matte: Isodecyl Isononanoate, Hydrogenated Coco-Glycerides, Euphorbia Cerifera (Candelilla) Wax/Cire de Candelilla/Candellila Cera, Microcrystalline Wax/Cire Microcristalline/Cera Microcristallina, Mica, Polymethyl Methacrylate, Copernicia Cerifera (Carnauba) Wax/Cire de Carnauba/Cera Carnauba, Disteardimonium Hectorite, Propylene Carbonate, Methylparaben, Propylparaben, Toc",Bloomingdale's,Anastasia Beverly Hills Highlighting Duo Pencil,23,Anastasia Beverly Hills Highlighting Duo Pencil,,"{women_bag,women_all,women_tote_bags}",,,,
Rip Curl,"Inspired by traditional Indian sari tops, this cropped V-neck blouse features an intricate geo pattern and an airy split back. Style Name: Rip Curl Sari Top. Style Number: 5806185. Available in stores.",NORDSTROM,Women's Rip Curl Sari Top,39.95,Women's Rip Curl Sari Top,39.95,"{women_clothing,women_tops,women_all}",,,,
Burberry,"Burberry Beauty introduces Eye Colour, the new collection of single eyeshadows designed to be applied dry for a natural sweep of color or wet for a more intense result. Each Glow Eyeshadow features a gel-like texture, brightening reflective shades and a pure, crystal-clear finish to open the eye. Wear the individual shade alone or blend it together with another hue for infinite effects. Style Name: Burberry Beauty Eye Colour - Wet & Dry Glow",NORDSTROM,Burberry Beauty Eye Colour - Wet & Dry Glow Eyeshadow - No. 002 Nude,29.5,Burberry Beauty Eye Colour - Wet & Dry Glow Eyeshadow - No. 002 Nude,29.5,"{women_rings,women_all,women_accessory}",,,,
Bombas,Touches of color liven up well-made socks knit from a stretchy cotton blend with mid-foot arch support. Style Name: Bombas Burchar Socks. Style Number: 5661305. Available in stores.,NORDSTROM,Men's Bombas Burchar Socks,12,Men's Bombas Burchar Socks,12,"{men_clothing,men_all,men_intimates}",,,,
Dansk,"Bring classic, homespun style to the table with this ribbed bowl from Dansk.",Bloomingdale's,Dansk Flamestone Bowl - 100% Exclusive,10,Dansk Flamestone Bowl - 100% Exclusive,6,"{women_clothing,women_all,women_activewear,men_clothing,men_all,men_activewear}",,,,
Juliska,Juliska's signature berry-and-thread motif adds old-world elegance to a stemless wine glass designed to effortlessly elevate your home bar. Style Name: Juliska Berry & Thread Stemless Red Wine Glass. Style Number: 5614831. Available in stores.,Bergdorf Goodman,Berry & Thread Stemless Red Wine Glass,28,Berry & Thread Stemless Red Wine Glass,28,"{women eyewear,men jewelry,luggage}",,,,
Juliska,"Ceramic stoneware bowl. Holds 20 ounces each. 6.5""Dia. x 3""T. Dishwasher, freezer, microwave and oven safe. Made in Portugal.",Bergdorf Goodman,Bilbao White Truffle Cereal Bowl,24,Bilbao White Truffle Cereal Bowl,,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,
New Balance,"Run, cycle or kickbox in style with this medium-impact bra featuring a comfortable fit and moisture-wicking technology. Style Name: New Balance Fuel Medium Impact Sports Bra. Style Number: 5848551 1. Available in stores.",NORDSTROM,Women's New Balance Fuel Medium Impact Sports Bra,45,Women's New Balance Fuel Medium Impact Sports Bra,25.69,"{women_clothing,women_all,women_activewear}",,,,
Stance,Sweeten up your look with the candy-colored stripes ringing these lightweight socks that disappear inside footwear. Style Name: Stance Candy Stripe No-Show Socks. Style Number: 5802248. Available in stores.,Bloomingdale's,Stance Candy Stripe Liner Socks,14,Stance Candy Stripe Liner Socks,12,"{women_clothing,women_all,women_intimates}",,,,
STS Blue,These subtly slouched pants with a playfully ruffled paperbag waist can easily be dressed up or down. Style Name: Sts Blue Paperbag Waist Ankle Pants. Style Number: 5974301. Available in stores.,NORDSTROM,Women's Sts Blue Paperbag Waist Ankle Pants,39,Women's Sts Blue Paperbag Waist Ankle Pants,39,"{women_clothing,women_all,women_dresses}",,,,
Shiseido,"What It Is: An air-whipped cream blush transforms into a long-lasting, weightless, breathable powder with a soft matte finish. What It Does: This blush uses breakthrough AirFusion Technology to blend effortlessly across skin. The mousse-like texture transforms into an ultra-thin, featherweight powder with a soft matte finish that lasts eight hours. Dermatologist-tested. Ingredients: Cyclopentasiloxane, Dimethicone, Titanium Dioxide (Nano), Silica, Dimethicone Crosspolymer, Vinyl Dimethicone/Meth",Bloomingdale's,Shiseido InnerGlow CheekPowder,29,Shiseido InnerGlow CheekPowder,,"{women_shoe,women_all,women_sneakers}",,,,
L. Erickson,"Wide, soft and stretchy, this pair of bandeau-style head wraps is perfect for tucking back your tresses in style. Style Name:L. Erickson Set Of 2 Italian Bandeau Head Wraps. Style Number: 5705497. Available in stores.",NORDSTROM,L. Erickson Set Of 2 Italian Bandeau Head Wraps,18,L. Erickson Set Of 2 Italian Bandeau Head Wraps,18,"{women_accessory,women_all,women_scarves}",,,,
Chantecaille,"These Chantecaille glosses with a barely-there texture give a touch of color and radiance while plumping the lips, thanks to wheat protein ingredients. Brilliant Gloss is long-lasting and non-sticky to the touch.",24S,Brilliant Gloss,36,Brilliant Gloss,,"{men_key_chains,men_accessory,men_all,women_key_chains,women_accessory,women_all,key_chains}",,,,
Wedgwood,Vera Wang Wedgwood Gilded Weave Dinner Plate-Home,Bloomingdale's,Vera Wang Wedgwood Gilded Weave Dinner Plate,35,Vera Wang Wedgwood Gilded Weave Dinner Plate,,"{women_clothing,women_all,women_intimates,men_clothing,men_all,men_shirts}",,,,
VIETRI,"Glass champagne flute. 9.75""T. Holds 7 ounces. Dishwasher safe. Made in Italy.",Bergdorf Goodman,Optical Clear Champagne Flute,23,Optical Clear Champagne Flute,,"{men_eyewear,women_all,women_accessory,men_all,women_eyewear,men_accessory}",,,,
Echo Design,Echo Leopard Silk Diamond Scarf-Jewelry & Accessories,Bloomingdale's,Echo Leopard Silk Diamond Scarf,39,Echo Leopard Silk Diamond Scarf,,"{women_accessory,women_all,women_scarves}",,,,
Villeroy & Boch,Villeroy & Boch Mariefleur Rim Soup-Home,Bloomingdale's,Villeroy & Boch Mariefleur Rim Soup,39,Villeroy & Boch Mariefleur Rim Soup,23.4,"{women_clothing,women_all,women_intimates,men_accessory,men_all,men_eyewear}",,,,
Diesel,"Black and white Samara sliders from Diesel featuring an open toe, a printed logo to the front, a branded insole, a flat sole and a PVC design.",Farfetch,"Diesel - Samara sliders - men - PVC - 46, 40 - Black",45,"Diesel - Samara sliders - men - PVC - 46, 40 - Black",45,"{men_shoe,men_all,men_sandals}",,,,
All in Favor,A twist at the hem provides a fresh update for this closet-staple tank. Style Name: All In Favor Twist Tank. Style Number: 5838198. Available in stores.,NORDSTROM,Women's All In Favor Twist Tank,29,Women's All In Favor Twist Tank,17.4,"{women_clothing,women_all,women_tops}",,,,
Saint Laurent,"What It Is: A limited-edition lipstick collaboration created by Zoe Kravitz, in six new shades featuring Zoe's pick of a feminine-yet-edgy black on black glitter packaging. What It Does: Discover Zoe Kravitz's personal collection of the iconic Ysl lipstick, Rouge Pur Couture. Her handpicked shades come in three reds and three nudes, with three unique finishes; satin, matte, and shimmer. Named and inspired by her loved ones, Zoe brings her own strong identity to the pure and powerful, highly pigm",Bloomingdale's,"Yves Saint Laurent Rouge Pur Couture Lipstick, Zoe Kravitz Collection",38,"Yves Saint Laurent Rouge Pur Couture Lipstick, Zoe Kravitz Collection",38,"{women_bag,women_all,women_shoulder_bags}",,,,
BASTIDE,Bastide Bath Salt 500g,Bergdorf Goodman,Bath Salt 500g,38,Bath Salt 500g,,"{women_clothing,women_all,women_intimates}",,,,
Dolce & Gabbana,"Match your branded clothing to your underwear courtesy of Dolce & Gabbana. Crafted in stretch cotton, these boxers are detailed with a logo waistband. Embrace 'logomania.' Featuring a printed logo and an elasticated waistband. Underwear and lingerie must be tried on over your own garments.",Farfetch,"Dolce & Gabbana - logo waistband boxer shorts - men - Cotton/Spandex/Elastane - 3, 4, 5, 6, 7 - Blue",45,"Dolce & Gabbana - logo waistband boxer shorts - men - Cotton/Spandex/Elastane - 3, 4, 5, 6, 7 - Blue",45,,,,,
Agraria,"Agraria Bitter Orange Bath & Shower Gel DetailsAgraria Bath & Shower Gel is a concentrated and moisturizing formula that creates a luxurious lather while moisturizing the skin. Each fragrance is enriched with botanical extracts of sage, rosemary, chamomile, yarrow, comfrey, hops, horsetail, marshmallow, kelp, burdock and ginkgo biloba. Enhanced with arnica montana, panthenol and wheat protein. The Fragrance: Bitter Orange fragrance is a complex and subtle blend that permeates the air with add.",Bergdorf Goodman,Bitter Orange Bath & Shower Gel,28,Bitter Orange Bath & Shower Gel,,"{women_clothing,women_all,women_pants,men_clothing,men_all,men_shirts}",,,,
LORAC,"What it is: A sexy, playful and highly-pigmented cream lipstick coats your lips in luscious color with an opaque, matte finish. What it does: The ultra-rich, velvety-smooth formula is loaded with anti-aging antioxidants such as acai berry, pomegranate, grape seed extract and vitamins C and E to help hydrate, nourish and condition your lips. Whether you wish to be a free spirit, a supermodel or a sex kitten (even if just for a night), Alter Ego",NORDSTROM,Lorac Alter Ego Matte Lipstick - Nymph,18,Lorac Alter Ego Matte Lipstick - Nymph,18,"{women_coats_and_jackets,women_clothing,women_all}",,,,
L'Amour Shoes,"L'Amour Shoes metallic leather Mary Jane with full-brogue detailing. Squared toe. T-strap with grip-strap. Leather lining. Rubber sole. ""Birdie"" is imported.",Bergdorf Goodman,"Birdie Metallic Leather T-Strap Brogue Mary Jane, Baby",38,"Birdie Metallic Leather T-Strap Brogue Mary Jane, Baby",,"{women_shoe,women_all,women_flats}",,,,
By Terry,"What It Is: Ultra-pigmented, a liquid lipstick that beautifies the lips with the most glamorous Haute Couleur coat in an intense matte finish. What It Does: The lightweight and creamy formula easily glides onto the lips for a unique bare-lips feel without drying for flawless wear. The lips are perfectly outlined for a captivating and sophisticated look. Full coverage, matte finish with 15% pigment. Ingredients: Isododecane, Caprylic/Capric Triglyceride, Methyl Methacrylate Crosspolymer, Ci 77891",Bloomingdale's,By Terry Lip-Expert Matte,34,By Terry Lip-Expert Matte,34,{women activewear},,,,
Juliska,"Digitally printed in lush blooms, this lovely cotton apron evokes the old-world romance of tangled European gardens. Style Name: Juliska Floretta Apron. Style Number: 5805159. Available in stores.",Bloomingdale's,Juliska Floretta Apron,39,Juliska Floretta Apron,39,"{women tops,men shirts}",,,,
Royce New York,Royce New York Leather Loop Key Fob-Handbags,Bloomingdale's,Royce New York Leather Loop Key Fob,35,Royce New York Leather Loop Key Fob,26.25,"{men_key_chains,men_accessory,men_all,women_key_chains,women_accessory,women_all,key_chains}",,,,
Topshop,"Textured fabric adds a fun twist to these flirty, pool-ready bikini bottoms. Style Name: Topshop Tanga Bikini Bottoms. Style Number: 5851544. Available in stores.",NORDSTROM,Women's Topshop Tanga Bikini Bottoms,22,Women's Topshop Tanga Bikini Bottoms,10.99,"{women_clothing,women_all,women_swimwear}",,,,
Supreme,Red logo print post-it notes from supreme featuring adhesive tape and printed logo tags.,Farfetch,Supreme - logo print post-it notes - unisex - Acetate - One Size - Red,25,Supreme - logo print post-it notes - unisex - Acetate - One Size - Red,25,,,,,
O'Neill,"A contrast waistband and back pocket stand out on quick-drying board shorts. The DWR finish lets you keep dry and comfortable, while antirash seaming prevents chafing on the waves or the beach-volleyball court. Style Name:O'Neill Intrusion Board Shorts. Style Number: 5867150. Available in stores.",NORDSTROM,Men's O'Neill Intrusion Board Shorts,45,Men's O'Neill Intrusion Board Shorts,20.25,"{men_clothing,men_all,men_swimwear}",,,,
Juliska,"A motif inspired by 17th-century Bohemian glass design adds carefree style to this lovely goblet updated in durable, dishwasher-safe acrylic. Style Name: Juliska Isabella Acrylic Goblet. Style Number: 5614847. Available in stores.",Bergdorf Goodman,Juliska Isabella Acrylic Goblet,17,Juliska Isabella Acrylic Goblet,17,"{women_accessory,women_all,women_necklaces,men_accessory,men_all,men_eyewear,men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,
Kevyn Aucoin,"The Curling Mascara tightly conforms to the lash, gently curling it. Smudge resistant and long wearing. Separates and defines each lash.",Bergdorf Goodman,The Curling Mascara,28,The Curling Mascara,,"{women_intimates,women_clothing,women_all}",,,,
Berard,Berard French Tapered Rolling Pin-Home,Bloomingdale's,Berard French Tapered Rolling Pin,19,Berard French Tapered Rolling Pin,,"{women pins,men jewelry}",,,,
Captain Blankenship,"What It Is: A citrus floral blend of organic essential oils that will envelop you in bright notes. A soothing blend of sea salt, epsom salts, baking soda and glacial marine clay helps detox and soften skin. What It Does: This golden mix of essential oils cannot help but uplift your mood. Like a fresh dip in a warm sea! Sea salt is full of many minerals and nutrients that are beneficial for the skin, and it helps open up pores and leaves a radiant glow. It also carries numerous health benefits fo",Bloomingdale's,Captain Blankenship Orla Uplifting Bath Salts,24,Captain Blankenship Orla Uplifting Bath Salts,,"{women_bag,women_all,women_shoulder_bags}",,,,
Madewell,Knotted raffia fringe make these hoops a perfect addition to your suitcase for your next tropical vacay. Style Name: Madewell Raffia Tassel Hoop Earrings. Style Number: 5817806 1. Available in stores.,NORDSTROM,Women's Madewell Raffia Tassel Hoop Earrings,32,Women's Madewell Raffia Tassel Hoop Earrings,32,"{women_accessory,women_all,women_earrings}",,,,
TOP CHEF,"Officially licensed by Bravo's hit series TOP CHEF, this two-piece 4116 high-carbon German stainless-steel carving set is ice-tempered for peak edge retention and hand-finished with a Japanese ultra-fine polishing wheel to 15-degree sharpness for a fine, controlled cut. The full bolster and stainless end caps help with balance, and the ergonomically designed handles are triple-riveted for durability. Style Name: Top Chef 2-Piece Carving Set.",NORDSTROM,Top Chef 2-Piece Carving Set,35,Top Chef 2-Piece Carving Set,35,{luggage},,,,
adidas,High-stretch yarns and ribbing ensure that these sporty roller-girl-inspired socks will stay put no matter how much you move in them. Style Name: Adidas Over The Knee Socks. Style Number: 5745999 1. Available in stores.,NORDSTROM,Women's Adidas Over The Knee Socks,16,Women's Adidas Over The Knee Socks,7.98,"{women_clothing,women_all,women_intimates}",,,,
